                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3789,                 13.282,                 3.6676,                      0,                      0,                      0,                      0,                 5.6164,                 12.072,                 4.2595,             0.00065657,             0.00065657,             0.00065657
                      2,                 2.8697,                 4.0826,                 2.1276,                0.11034,                0.15692,                0.03931,                0.01159,                 2.8214,                 7.7897,                 2.0061,               0.001297,               0.001297,               0.001297
                      3,                 2.6206,                 2.7842,                 1.6744,                0.33027,                0.35692,                0.23538,                0.06902,                  2.596,                  2.817,                 1.6356,              0.0019111,              0.0019111,              0.0019111
                      4,                 2.5068,                 2.3179,                 1.5477,                0.40103,                0.37231,                0.30198,                0.09592,                 2.4227,                 2.2158,                 1.4531,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.3876,                 1.9947,                 1.5032,                0.50183,                0.40615,                0.38096,                0.12355,                 2.4603,                 1.7967,                  1.447,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.3323,                 1.7441,                 1.4262,                0.52396,                0.45538,                0.42532,                0.14118,                 2.2951,                  1.707,                  1.387,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.2971,                 1.5994,                 1.4224,                0.55021,                   0.48,                0.46823,                0.16018,                  2.238,                  1.568,                 1.3326,               0.001802,               0.001802,               0.001802
                      8,                 2.2884,                 1.5617,                 1.4181,                0.55574,                0.42462,                0.43802,                0.16445,                  2.171,                 1.5203,                  1.318,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.3092,                  1.543,                 1.4315,                0.53668,                0.51077,                0.48944,                0.18469,                 2.1985,                 1.4156,                  1.324,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.2823,                 1.4214,                 1.3984,                0.57844,                0.52923,                0.49848,                0.18186,                 2.2231,                 1.4037,                 1.3434,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.2852,                 1.3863,                 1.3653,                0.59446,                0.50462,                0.51598,                0.18944,                 2.1724,                 1.2978,                 1.2882,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.2232,                 1.3592,                 1.3664,                0.62796,                0.57128,                0.53024,                0.19096,                  2.222,                 1.3048,                  1.317,               0.001604,               0.001604,               0.001604
                     13,                  2.237,                 1.3198,                 1.3525,                0.63325,                0.46221,                0.48542,                0.16068,                  2.232,                 1.3655,                 1.3168,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.1728,                 1.2696,                 1.3409,                 0.6187,                0.55917,                0.54063,                0.20248,                 2.2229,                 1.2366,                 1.3067,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.1868,                 1.2694,                  1.335,                  0.667,                0.53846,                0.55054,                0.20474,                 2.1219,                 1.2116,                 1.2729,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.1999,                 1.2782,                 1.3494,                0.65836,                0.48028,                 0.5448,                0.19851,                 2.1928,                 1.3045,                 1.2638,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.1477,                 1.2369,                 1.3202,                0.64394,                0.54154,                0.55344,                0.19036,                 2.1733,                 1.2586,                 1.2738,               0.001406,               0.001406,               0.001406
                     18,                 2.1358,                 1.1963,                  1.311,                0.66962,                0.54769,                0.55249,                0.18607,                 2.2354,                 1.1963,                 1.3232,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.1857,                 1.2016,                 1.3214,                0.63184,                0.59385,                0.57736,                0.19716,                 2.2742,                 1.2337,                 1.3203,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.1403,                 1.2131,                 1.3277,                0.60899,                0.54462,                0.53134,                0.21474,                  2.102,                 1.2569,                 1.2601,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.1252,                 1.1679,                 1.3074,                0.67665,                0.58769,                0.58269,                0.21697,                 2.1259,                 1.2465,                 1.2688,              0.0012476,              0.0012476,              0.0012476
